Project Name,Category Name
Filet Finance,Products and End User UX
Beryx Filecoin Explorer,Tooling and Utilities
Metrics for the Filecoin P2P network health,Tooling and Utilities
Beryx Filecoin API,Tooling and Utilities
BlockseBlock,Education and Outreach
Filecoin Ledger App & Installation Hub,Tooling and Utilities
MetaEra,Education and Outreach
Safe on Filecoin,Collective Governance
fil-miner-info.safematrix,Tooling and Utilities
FILCAPETOWN,Education and Outreach
Filmint,Products and End User UX
4EVERLAND,Tooling and Utilities
B<>rder/ess Developers Program,Education and Outreach
FilDOS,Products and End User UX
boxo-starter-kit,Education and Outreach
Retrieval Tester,Tooling and Utilities
FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,Infrastructure and Dependencies
Lighthouse,Tooling and Utilities
filecoin-checker,Tooling and Utilities
Curio Snark Market,Infrastructure and Dependencies
Asia-SPWG,Collective Governance
FilPunks,Products and End User UX
Ancients Research,Collective Governance
Curio APT Repository (Filecoin APT),Infrastructure and Dependencies
Filecoin Data Portal,Infrastructure and Dependencies
SealGuard,Tooling and Utilities
Axelar Network,Infrastructure and Dependencies
Boxo and Kubo,Infrastructure and Dependencies
Multichain Storage,Infrastructure and Dependencies
DevTTY Filecoin Mainnet Bootstrap Nodes,Infrastructure and Dependencies
Curio Storage,Infrastructure and Dependencies
Curio Smart Cordon & Restart System,Infrastructure and Dependencies
Guide To Filecoin - Easing the Transition to Filecoin.,Education and Outreach
CalibrationNet Stability Project,Infrastructure and Dependencies
Chain.Love,Infrastructure and Dependencies
Filecoin Deal Tool - Droplet,Tooling and Utilities
Boost,Infrastructure and Dependencies
Filecoin Address Drainer,Tooling and Utilities
The Epoch Clock,Tooling and Utilities
witnesschain,Collective Governance
WarmWeb,Collective Governance
Filecoin Slack Community Admin,Collective Governance
Eastore,Tooling and Utilities
Filecoin Community Service -VenusHub,Education and Outreach
Filscan Explorer,Tooling and Utilities
Filliquid,Education and Outreach
Filecoin Client Implementation - Venus,Infrastructure and Dependencies
Filecoin FIPs Tracker,Tooling and Utilities
Root Key Holder management portal,Collective Governance
libp2p Community Architecting and Infra Management,Infrastructure and Dependencies
Forest,Infrastructure and Dependencies
GainForest: The world’s first community-owned data commons for nature impact,Products and End User UX
IPFS Public Utilities,Infrastructure and Dependencies
go-libp2p,Infrastructure and Dependencies
Forest Archive,Infrastructure and Dependencies
Filecoin Community Services,Infrastructure and Dependencies
filsnap,Tooling and Utilities
iso-filecoin,Tooling and Utilities
Filecoin Orbit Uganda ,Education and Outreach
Blockscout Open Source Filecoin Explorer,Infrastructure and Dependencies
Meet with Huddle01,Products and End User UX
IPFS及Filecoin价值资讯传递（南山居士Hill）,Education and Outreach
NanoDC Project,Products and End User UX
Filecoin BigQuery Data Repository,Tooling and Utilities
Forest Explorer,Tooling and Utilities
FIP 100 Research & Development,Protocol Research & Development
FIL RetroPGF Data Analysis & Round Modeling,Collective Governance
Filosign,Products and End User UX
Open Source Observer (OSO),Collective Governance
Spacescope: API service for the Filecoin ecosystem,Tooling and Utilities
Lily: blockchain data extraction for Filecoin,Tooling and Utilities
Storacha-Solana-SDK,Tooling and Utilities
FilOz – Advancing the Filecoin Protocol,Protocol Research & Development
Fil Implementers WG - Cross-Client Coordination and Governance,Collective Governance
